Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-251.39044	161.37936	60.628105	-542.9239	90.15909	-0.14138517	0.44827062	1.2101994	-1.6270013	4000	-1.1062622e-07	58715.945	-0.009022241	-3309.7969	1.3405135	0.010699136	0.10125	79.0	7.810828685760498
1	-257.26016	140.92792	-65.90417	-690.3977	98.1	-8.136588	1.2929997	1.0117822	-9.681306	8000	-1.14440915e-07	51293.01	-0.009342966	-2212.5742	1.3531692	0.010906508	0.0955	79.0	14.244199275970459
2	-199.37035	107.23442	-20.051764	-451.9229	97.414635	-13.973094	0.5860492	-7.588992	-14.343107	12000	1.1062622e-07	27012.152	-0.00813591	-803.33594	1.360695	0.00841733	0.083	79.0	20.612160205841064
3	-201.201	144.88081	-33.178276	-665.5374	100.128204	-16.896038	0.2679486	-12.346466	-17.104382	16000	-3.051758e-08	39315.465	-0.009795711	-907.8633	1.3272454	0.016723095	0.176	17.0	27.015655755996704
4	-187.55574	103.15976	-51.929386	-378.9638	116.5	-19.747133	0.49677765	-13.323559	-19.941929	20000	-5.1498414e-08	25680.252	-0.010593861	-703.2207	1.3341774	0.012623473	0.11925	79.0	33.266103744506836
5	-173.28767	107.585	-21.264006	-456.9383	113.34286	-22.378399	0.1302766	-19.693754	-22.467056	24000	6.055832e-08	23536.895	-0.011524263	-613.2246	1.3079101	0.012965582	0.11325	79.0	39.62974166870117
6	-150.22388	94.19469	-19.268763	-456.73444	111.11429	-24.761272	0.37872908	-18.2198	-24.858938	28000	1.9073486e-08	17620.805	-0.0072812634	-437.04297	1.3282255	0.015117226	0.154	48.0	45.88330268859863
7	-145.30122	89.23645	-11.626995	-341.6614	116.64706	-26.828318	0.36923054	-14.008286	-26.897964	32000	-3.8146974e-09	14688.457	-0.006986001	-352.62598	1.2844754	0.016534524	0.134	18.0	52.07762694358826
8	-159.82614	101.076866	-11.8165865	-362.0537	130.46666	-28.682327	0.4997341	-19.753122	-28.788246	36000	2.4795533e-08	16719.191	-0.0054102237	-447.03516	1.2679555	0.008315907	0.07975	79.0	58.824092388153076
9	-135.12152	90.00587	-18.88119	-331.65283	136.17241	-30.756124	0.9271788	-14.323772	-30.900175	40000	-3.6239623e-08	11078.945	-0.00920141	-271.08496	1.2665541	0.0068345163	0.0935	79.0	65.26278018951416
10	-140.60449	89.00957	8.043896	-300.35852	151.38461	-32.51031	0.20611654	-29.25645	-32.57474	44000	-4.3511392e-08	11708.52	-0.007259673	-305.8994	1.2425491	0.0044533736	0.0365	79.0	72.25715756416321
11	-136.46126	108.549034	-9.197492	-470.84567	142.28572	-34.363945	0.14506474	-32.596375	-34.416843	48000	-2.6702882e-08	15032.28	-0.00953092	-323.25293	1.2321321	0.008613374	0.07675	79.0	78.61635184288025
12	-107.64898	68.03944	-14.229219	-275.13324	137.6207	-36.316666	0.075912975	-34.60431	-36.350094	52000	-2.861023e-09	6203.373	-0.013946679	-138.58789	1.2491642	0.012710174	0.1675	79.0	85.12901997566223
13	-67.097084	71.73101	28.463348	-325.82516	137.06897	-37.650692	0.09616331	-35.801846	-37.687073	56000	1.2397766e-08	5672.72	-0.012791748	-62.86621	1.2200154	0.012843446	0.163	79.0	91.87081956863403
14	-101.55473	62.414394	29.568447	-256.93808	159.92	-38.558098	0.10247191	-37.273388	-38.60472	60000	2.4318695e-08	4535.4937	-0.011782499	-114.66211	1.1985576	0.008559397	0.08175	79.0	98.52700209617615
15	-99.28892	95.96355	35.53808	-247.9748	176.77272	-39.771782	0.17130232	-36.605183	-39.818794	64000	0.0	8981.79	-0.008413681	-133.96777	1.1511904	0.009465515	0.073	79.0	105.27609825134277
16	-74.9055	86.20252	20.943802	-244.9184	226.82353	-40.817036	1.08435	-35.581707	-41.177265	68000	1.0490417e-08	5043.9487	-0.007565126	-58.51465	1.1682551	0.0068915603	0.063	79.0	113.37912249565125
17	-59.95187	54.8229	14.0148	-225.3274	189.2381	-42.05647	0.20556325	-39.526814	-42.13321	72000	1.0490417e-08	3906.7285	-0.013267503	-55.68286	1.1518164	0.012216954	0.11075	79.0	120.4800477027893
18	-68.85869	81.694115	38.001827	-266.46295	363.45456	-42.735123	0.6100614	-39.329163	-43.036983	76000	0.0	4760.73	-0.009715484	-44.500977	1.1554016	0.012914666	0.1345	79.0	129.96379280090332
19	-118.06665	73.53803	0.033648644	-201.61594	308.08334	-43.74101	0.45558202	-37.681217	-43.854385	80000	1.1444092e-08	7414.6577	-0.010069103	-237.12988	1.1322576	0.010319564	0.082	79.0	137.8565969467163
20	-34.71394	54.548145	52.198334	-144.8649	285.42856	-45.640682	0.22901514	-43.848557	-45.737606	84000	1.2397766e-08	2402.8616	-0.007905161	-0.6623535	1.1444215	0.006453947	0.1105	79.0	146.56144332885742
21	-40.83924	33.697624	13.722791	-108.36306	286.92307	-45.854095	0.076182775	-45.056187	-45.89296	88000	1.1444092e-08	1684.7542	-0.0070637707	-0.5531006	1.1160415	0.018060425	0.3265	13.0	154.0643594264984
22	-157.99957	106.42881	0.99552226	-360.9388	354.45456	-45.94393	0.09899182	-43.38923	-45.967358	92000	3.8146974e-09	12450.155	-0.015119274	-515.5088	1.0773944	0.0101127	0.11525	79.0	162.56937289237976
23	-101.244514	70.35498	-22.157537	-250.23027	563.0	-48.533077	0.7933752	-41.34728	-48.87348	96000	1.1444092e-08	4866.549	-0.0093895225	-223.30518	1.1283891	0.009599519	0.0925	79.0	174.16762447357178
24	-136.27596	48.294506	-51.782116	-233.86993	334.54544	-50.140835	0.7866813	-40.632187	-50.29999	100000	1.525879e-08	6095.149	-0.008656681	-288.5713	1.0969939	0.0058337813	0.0415	79.0	182.11740517616272
25	-28.667698	43.398457	22.99258	-104.63843	721.6	-52.389732	0.28844684	-50.536602	-52.5317	104000	-2.861023e-09	2011.404	-0.007637477	-28.270508	1.1577641	0.0114132175	0.0735	79.0	194.23383617401123
26	-29.505997	60.803715	44.524624	-130.7795	662.3333	-51.037643	3.699101	2.7311308	-51.972427	108000	9.536744e-10	2541.7683	-0.008041266	-85.86621	1.156595	0.006237001	0.0665	79.0	205.93703961372375
27	-72.260925	63.338272	25.365711	-184.2751	498.42856	-49.328243	6.0545115	-7.249296	-51.483143	112000	3.8146974e-09	4334.0415	-0.009684719	-74.9082	1.1309272	0.007879872	0.112	79.0	216.28487491607666
28	-62.634743	80.150024	20.729965	-189.47282	770.2	-44.84389	13.65592	32.857765	-52.50741	116000	-2.861023e-09	3421.3755	-0.011710309	-18.738037	1.1625654	0.007889185	0.11575	79.0	226.6715109348297
29	-23.199812	72.04558	62.389145	-135.93683	738.2	-51.377617	5.9765177	28.903555	-52.836525	120000	-3.8146974e-09	2608.7715	-0.010611486	-477.20508	1.153608	0.009054095	0.126	79.0	237.44760656356812
